Date,Tech_index,Non_tech_index
2007-07-06,1200.430054,1225.800049
2007-07-09,1206.300049,1226.25
2007-07-10,1196.839966,1213.810059
2007-07-11,1203.48999,1222.530029
2007-07-12,1232.150024,1239.550049
2007-07-13,1231.890015,1245.150024
2007-07-16,1228.47998,1242.189941
2007-07-17,1246.089966,1242.689941
2007-07-18,1237.439941,1247
2007-07-19,1258.280029,1250.689941
2007-07-20,1242.430054,1245.349976
2007-07-23,1241.349976,1246.280029
2007-07-24,1224.680054,1225.969971
2007-07-25,1229.25,1228.609985
2007-07-26,1205.439941,1197.619995
2007-07-27,1184.119995,1180.22998
2007-07-30,1198.540039,1196.910034
2007-07-31,1173.810059,1184.949951
2007-08-01,1181.459961,1187.030029
2007-08-02,1189.130005,1209.089966
2007-08-03,1151.930054,1184.189941
2007-08-06,1169.699951,1204.890015
2007-08-07,1170.829956,1220.599976
2007-08-08,1195.48999,1235.219971
2007-08-09,1168.640015,1209.680054
2007-08-10,1164.23999,1198.02002
2007-08-13,1165.949951,1200.579956
2007-08-14,1145.079956,1183.829956
2007-08-15,1123.140015,1162.75
2007-08-16,1115.02002,1146.339966
2007-08-17,1142.180054,1170.300049
2007-08-20,1149.390015,1171.52002
2007-08-21,1153.800049,1183.880005
2007-08-22,1170.619995,1197.099976
2007-08-23,1165.76001,1192.790039
2007-08-24,1177.890015,1214.790039
2007-08-27,1169.359985,1207.650024
2007-08-28,1141.5,1180.550049
2007-08-29,1172.660034,1207.949951
2007-08-30,1176.939941,1213.01001
2007-08-31,1192.910034,1226.959961
2007-09-04,1214.550049,1241.790039
2007-09-05,1201.910034,1232.329956
2007-09-06,1205.859985,1238.25
2007-09-07,1179.02002,1215.51001
2007-09-10,1179.27002,1211.430054
2007-09-11,1197.97998,1230.040039
2007-09-12,1191.400024,1230.040039
2007-09-13,1193.829956,1235.069946
2007-09-14,1193.380005,1237.540039
2007-09-17,1186.030029,1221.51001
2007-09-18,1219.699951,1260.849976
2007-09-19,1223.51001,1262.939941
2007-09-20,1217.339966,1252.930054
2007-09-21,1223.72998,1255.910034
2007-09-24,1217.030029,1252.27002
2007-09-25,1229.640015,1256.959961
2007-09-26,1232.329956,1268.579956
2007-09-27,1237.439941,1276.680054
2007-09-28,1238.849976,1275.089966
2007-10-01,1254.339966,1292.51001
2007-10-02,1255.859985,1292.869995
2007-10-03,1246.75,1288.189941
2007-10-04,1246.859985,1290.819946
2007-10-05,1268.51001,1313.849976
2007-10-08,1277.819946,1308.540039
2007-10-09,1275.25,1319.22998
2007-10-10,1279.51001,1321.140015
2007-10-11,1255.819946,1304.949951
2007-10-12,1287.22998,1319.400024
2007-10-15,1276.319946,1307.449951
2007-10-16,1261.060059,1300.73999
2007-10-17,1279.670044,1304.900024
2007-10-18,1293.599976,1306.069946
2007-10-19,1254.199951,1268.51001
2007-10-22,1270.550049,1284.810059
2007-10-23,1291.859985,1298.650024
2007-10-24,1263.449951,1293.660034
2007-10-25,1242.560059,1290.050049
2007-10-26,1255.859985,1300.72998
2007-10-29,1265.23999,1305.380005
2007-10-30,1266.209961,1298.76001
2007-10-31,1282.359985,1313.329956
2007-11-01,1256.97998,1283.780029
2007-11-02,1270.630005,1290.829956
2007-11-05,1262.680054,1274.319946
2007-11-06,1262.339966,1285.420044
2007-11-07,1236.069946,1252
2007-11-08,1198.280029,1247.5
2007-11-09,1169.160034,1216.48999
2007-11-12,1140.47998,1195.589966
2007-11-13,1181.609985,1231.030029
2007-11-14,1163.75,1219.099976
2007-11-15,1151.569946,1216.810059
2007-11-16,1163.969971,1223.900024
2007-11-19,1144.219971,1203.5
2007-11-20,1135.339966,1198.77002
2007-11-21,1122.300049,1181.27002
2007-11-23,1135.430054,1191.060059
2007-11-26,1110.699951,1171.23999
2007-11-27,1134.650024,1202.680054
2007-11-28,1167.839966,1238.339966
2007-11-29,1170.98999,1238.27002
2007-11-30,1154.609985,1250.949951
2007-12-03,1146.699951,1248.719971
2007-12-04,1138.119995,1245.01001
2007-12-05,1163.410034,1261.380005
2007-12-06,1179.430054,1274.099976
2007-12-07,1180.609985,1277.449951
2007-12-10,1188.390015,1277.280029
2007-12-11,1160.180054,1244.550049
2007-12-12,1167.719971,1245.589966
2007-12-13,1164.23999,1236.969971
2007-12-14,1152.079956,1219.27002
2007-12-17,1125.890015,1190.670044
2007-12-18,1132.790039,1198.310059
2007-12-19,1135.319946,1198.579956
2007-12-20,1158.02002,1215.810059
2007-12-21,1177.560059,1233.77002
2007-12-24,1183.209961,1238.719971
2007-12-26,1187.369995,1243.680054
2007-12-27,1168.119995,1219.859985
2007-12-28,1168.579956,1217.819946
2007-12-31,1155.910034,1210.890015
2008-01-02,1133.339966,1185.52002
2008-01-03,1131.359985,1186.050049
2008-01-04,1081.439941,1150.680054
2008-01-07,1069.719971,1150.300049
2008-01-08,1040.800049,1130.52002
2008-01-09,1052.369995,1138.109985
2008-01-10,1056.660034,1151.439941
2008-01-11,1024.869995,1134.719971
2008-01-14,1053.47998,1143.650024
2008-01-15,1022.869995,1118.630005
2008-01-16,1023.710022,1125.910034
2008-01-17,1000.570007,1102.98999
2008-01-18,1012.640015,1100.560059
2008-01-22,983.75,1080.180054
2008-01-23,986.280029,1106.849976
2008-01-24,1026.650024,1111.959961
2008-01-25,1010.559998,1091.890015
2008-01-28,1020.340027,1115.859985
2008-01-29,1021.289978,1119.97998
2008-01-30,1023.390015,1114.449951
2008-01-31,1020.98999,1141.079956
2008-02-01,1057.060059,1164.819946
2008-02-04,1042.540039,1148.76001
2008-02-05,1007.940002,1109.72998
2008-02-06,986.140015,1097.76001
2008-02-07,991.950012,1110.170044
2008-02-08,1008.059998,1108.219971
2008-02-11,1023.059998,1115.660034
2008-02-12,1017.22998,1111.449951
2008-02-13,1048.060059,1130.079956
2008-02-14,1022.890015,1108.390015
2008-02-15,1014.549988,1107.25
2008-02-19,1002.669983,1104.359985
2008-02-20,1019.820007,1115.699951
2008-02-21,1015.890015,1092.589966
2008-02-22,1016.799988,1105.140015
2008-02-25,1027.119995,1118.050049
2008-02-26,1034.209961,1125.959961
2008-02-27,1042.089966,1117.48999
2008-02-28,1026.619995,1110.430054
2008-02-29,996.390015,1076.900024
2008-03-03,988.700012,1079.52002
2008-03-04,994.539978,1078.290039
2008-03-05,1004.690002,1086.530029
2008-03-06,982.5,1057.680054
2008-03-07,978.559998,1045.199951
2008-03-10,960.75,1017.849976
2008-03-11,997.609985,1053.939941
2008-03-12,991,1053.430054
2008-03-13,997.690002,1059.959961
2008-03-14,971.22998,1039.699951
2008-03-17,957.549988,1013.299988
2008-03-18,996.710022,1055.400024
2008-03-19,964.080017,1034.459961
2008-03-20,981.609985,1060.719971
2008-03-24,1020.51001,1097.060059
2008-03-25,1025.349976,1102.900024
2008-03-26,1017.02002,1089.959961
2008-03-27,989.400024,1076.77002
2008-03-28,986.47998,1056.790039
2008-03-31,989.059998,1072.170044
2008-04-01,1030.369995,1118.72998
2008-04-02,1030.349976,1120.060059
2008-04-03,1041.599976,1118.589966
2008-04-04,1040.209961,1127.880005
2008-04-07,1034.27002,1123.459961
2008-04-08,1025.040039,1117.329956
2008-04-09,1022.200012,1093.530029
2008-04-10,1036.810059,1100.390015
2008-04-11,1003.809998,1077.079956
2008-04-14,996.859985,1072.040039
2008-04-15,999.650024,1072.219971
2008-04-16,1037.410034,1098.420044
2008-04-17,1036.380005,1092.140015
2008-04-18,1072.599976,1112.469971
2008-04-21,1087.319946,1105.280029
2008-04-22,1065.380005,1089.969971
2008-04-23,1091.5,1102.27002
2008-04-24,1103.030029,1104.530029
2008-04-25,1103.829956,1111.27002
2008-04-28,1098.599976,1116.47998
2008-04-29,1108.25,1119.390015
2008-04-30,1098.420044,1108.790039
2008-05-01,1136.189941,1138.959961
2008-05-02,1133.76001,1139.109985
2008-05-05,1125.609985,1129.199951
2008-05-06,1140.650024,1135.219971
2008-05-07,1115.130005,1113.130005
2008-05-08,1122.849976,1121.709961
2008-05-09,1121.930054,1121.170044
2008-05-12,1138.27002,1137.689941
2008-05-13,1142.829956,1138.650024
2008-05-14,1149.25,1141.959961
2008-05-15,1178.430054,1161.390015
2008-05-16,1180.790039,1163.219971
2008-05-19,1168.420044,1153.430054
2008-05-20,1151.560059,1144.819946
2008-05-21,1133.569946,1118.22998
2008-05-22,1135.680054,1129.420044
2008-05-23,1126.959961,1115.540039
2008-05-27,1147.680054,1130.180054
2008-05-28,1154.26001,1133.73999
2008-05-29,1162.930054,1146.410034
2008-05-30,1184.079956,1151.349976
2008-06-02,1166.810059,1137.640015
2008-06-03,1160.030029,1139.119995
2008-06-04,1174.609985,1157.800049
2008-06-05,1190.819946,1184.27002
2008-06-06,1154.030029,1142.030029
2008-06-09,1149.550049,1134.47998
2008-06-10,1131.550049,1122.449951
2008-06-11,1101.140015,1093.069946
2008-06-12,1103.109985,1095.75
2008-06-13,1129.52002,1124.76001
2008-06-16,1139.98999,1131.099976
2008-06-17,1122.680054,1120.339966
2008-06-18,1107.109985,1102.839966
2008-06-19,1131.329956,1115.890015
2008-06-20,1097.310059,1084.949951
2008-06-23,1089.459961,1072.959961
2008-06-24,1089.969971,1063.670044
2008-06-25,1107.22998,1077.449951
2008-06-26,1061.540039,1043.660034
2008-06-27,1059.869995,1043.290039
2008-06-30,1048.949951,1035.219971
2008-07-01,1055.23999,1038.72998
2008-07-02,1033.680054,1010.719971
2008-07-03,1025.290039,1007.51001
2008-07-07,1030.810059,1007.26001
2008-07-08,1040.430054,1037.060059
2008-07-09,1004.440002,1012.080017
2008-07-10,1016.880005,1017.559998
2008-07-11,997.059998,1003.530029
2008-07-14,983.280029,1001.090027
2008-07-15,987.789978,1004.580017
2008-07-16,1018.73999,1039.849976
2008-07-17,1035.930054,1053.52002
2008-07-18,1024.930054,1050.030029
2008-07-21,1013.950012,1050.380005
2008-07-22,1006.450012,1064.969971
2008-07-23,1016.880005,1078.550049
2008-07-24,986.590027,1048.890015
2008-07-25,1004.51001,1056.040039
2008-07-28,985.070007,1029.319946
2008-07-29,1010.309998,1057.290039
2008-07-30,1014.159973,1054.22998
2008-07-31,1008.700012,1050.640015
2008-08-01,1001.440002,1032.150024
2008-08-04,995.059998,1019.150024
2008-08-05,1024.939941,1056.069946
2008-08-06,1042.699951,1059.189941
2008-08-07,1040.079956,1039.27002
2008-08-08,1060.300049,1061.849976
2008-08-11,1071.27002,1077.050049
2008-08-12,1069.290039,1071.680054
2008-08-13,1067.040039,1066.930054
2008-08-14,1080.810059,1085.319946
2008-08-15,1081.650024,1084.339966
2008-08-18,1063.400024,1069.119995
2008-08-19,1048.869995,1054.300049
2008-08-20,1054.410034,1051.619995
2008-08-21,1050.23999,1051.130005
2008-08-22,1064.199951,1066.839966
2008-08-25,1042.930054,1041.640015
2008-08-26,1034.089966,1043.280029
2008-08-27,1045.75,1048.810059
2008-08-28,1055.77002,1065.920044
2008-08-29,1026.790039,1053.300049
2008-09-02,1014.570007,1050.219971
2008-09-03,990.380005,1046.52002
2008-09-04,954.109985,1018.5
2008-09-05,961,1020.530029
2008-09-08,960.940002,1024.939941
2008-09-09,931.919983,999.359985
2008-09-10,939.309998,1008.630005
2008-09-11,950.369995,1028.189941
2008-09-12,948.030029,1034.329956
2008-09-15,912.460022,1001.539978
2008-09-16,918.840027,1017.469971
2008-09-17,885.25,970.76001
2008-09-18,926.77002,1006.789978
2008-09-19,956.059998,1031.390015
2008-09-22,911.409973,986
2008-09-23,900.299988,978.659973
2008-09-24,908.159973,984.580017
2008-09-25,919.849976,993.280029
2008-09-26,910.52002,993.419983
2008-09-29,820.440002,904.700012
2008-09-30,872.630005,950.179993
2008-10-01,858.359985,934.840027
2008-10-02,814.719971,887.299988
2008-10-03,794.01001,867.299988
2008-10-06,764.5,825.940002
2008-10-07,713.859985,784.869995
2008-10-08,713.48999,776.119995
2008-10-09,689.450012,726.440002
2008-10-10,683.719971,715.929993
2008-10-13,769.409973,799.140015
2008-10-14,735.450012,771.169983
2008-10-15,669.130005,693.98999
2008-10-16,704.130005,725.77002
2008-10-17,702.080017,728.030029
2008-10-20,726.799988,756.72998
2008-10-21,687.039978,719.940002
2008-10-22,656.349976,680.659973
2008-10-23,644.789978,668.880005
2008-10-24,627.330017,641.570007
2008-10-27,null,null
2008-10-28,682.799988,686.530029
2008-10-29,678.599976,703.419983
2008-10-30,692.669983,729.25
2008-10-31,692.98999,741.609985
2008-11-03,692.210022,744.869995
2008-11-04,723.549988,769.049988
2008-11-05,687.02002,722.780029
2008-11-06,647.48999,692.599976
2008-11-07,663.409973,710.76001
2008-11-10,646.72998,700.52002
2008-11-11,630.400024,682.080017
2008-11-12,596.380005,646.630005
2008-11-13,636.789978,690.630005
2008-11-14,606.840027,655.98999
2008-11-17,588.01001,640.580017
2008-11-18,587.659973,636.280029
2008-11-19,546.859985,593.280029
2008-11-20,525.919983,560.98999
2008-11-21,552.580017,588.059998
2008-11-24,589.070007,628.22998
2008-11-25,579.700012,630.719971
2008-11-26,612.76001,662.48999
2008-11-28,610.190002,665.369995
2008-12-01,558.179993,601.809998
2008-12-02,577.169983,628.830017
2008-12-03,599.51001,646.429993
2008-12-04,567.630005,629.26001
2008-12-05,597.169983,661.75
2008-12-08,621.76001,685.690002
2008-12-09,629.659973,668.799988
2008-12-10,639.400024,679.030029
2008-12-11,616.619995,656.840027
2008-12-12,635.559998,665.539978
2008-12-15,622.140015,651.440002
2008-12-16,657.419983,691.169983
2008-12-17,654.539978,694.22998
2008-12-18,630.690002,687.73999
2008-12-19,640.75,687.099976
2008-12-22,622.590027,668.059998
2008-12-23,616.090027,666.109985
2008-12-24,616.26001,669.599976
2008-12-26,613.719971,671.799988
2008-12-29,609.289978,659.97998
2008-12-30,627.380005,680.450012
2008-12-31,633.5,690.340027
2009-01-02,664.190002,723.219971
2009-01-05,665.950012,719.619995
2009-01-06,687.130005,727.5
2009-01-07,662.73999,707.710022
2009-01-08,665.099976,720.27002
2009-01-09,649.27002,698.97998
2009-01-12,630.130005,680.73999
2009-01-13,630.059998,684.619995
2009-01-14,608.5,661.340027
2009-01-15,617.02002,681.26001
2009-01-16,627.710022,687.690002
2009-01-20,588.380005,647.25
2009-01-21,614.400024,671.679993
2009-01-22,597.76001,657.349976
2009-01-23,612.690002,655.52002
2009-01-26,618.159973,659.619995
2009-01-27,632.72998,664.51001
2009-01-28,658.119995,690.159973
2009-01-29,634.390015,670.590027
2009-01-30,617.809998,655.289978
2009-02-02,625.159973,658.090027
2009-02-03,634.77002,673.700012
2009-02-04,638.73999,674.650024
2009-02-05,659.72998,690.51001
2009-02-06,680.880005,708.419983
2009-02-09,682.280029,707.72998
2009-02-10,648.650024,677.969971
2009-02-11,645.440002,680.48999
2009-02-12,655.830017,688.530029
2009-02-13,654.5,684.960022
2009-02-17,622.179993,655.409973
2009-02-18,623.940002,653.869995
2009-02-19,604.869995,650.099976
2009-02-20,608.460022,651.210022
2009-02-23,582.679993,628.26001
2009-02-24,609.669983,653.570007
2009-02-25,614.460022,638.900024
2009-02-26,603.570007,616.609985
2009-02-27,603.549988,610.76001
2009-03-02,576.349976,578.429993
2009-03-03,583.609985,577.969971
2009-03-04,603.890015,598.359985
2009-03-05,585.119995,573.650024
2009-03-06,582.390015,570.73999
2009-03-09,568.169983,563.799988
2009-03-10,610.52002,599.960022
2009-03-11,623.26001,600.869995
2009-03-12,643.380005,625.02002
2009-03-13,646.72998,631.700012
2009-03-16,630.679993,618.469971
2009-03-17,656.969971,643.640015
2009-03-18,687.22998,651.799988
2009-03-19,686.400024,649.76001
2009-03-20,666.75,636.919983
2009-03-23,709.380005,679.210022
2009-03-24,695.030029,666.460022
2009-03-25,698.080017,670.309998
2009-03-26,728.76001,697.299988
2009-03-27,704.919983,679.820007
2009-03-30,682.299988,658.630005
2009-03-31,692.710022,665.349976
